station_id,station_name,lat,lng,member,casual,rides
  24321,Oconto Ave & Belmont Ave,41.9378313396774,-87.8078808024839,76,215,291
1011,Public Rack - Fullerton Ave & Narragansett Ave,41.9237651069191,-87.7858167550381,173,260,433
1100.0,Public Rack - Melvina Ave & Montrose Ave,41.9588503451563,-87.781961863,152,124,276
1116.0,Public Rack - Oak Park Ave & Foster Ave,41.9746022,-87.8119558,145,58,203
1137.0,Public Rack - Nina Ave & Avondale Ave,41.9911413644,-87.79908090845,47,31,78
1172.0,Public Rack - Touhy Ave & Oconto Ave,42.0117735839118,-87.8076521965294,17,35,52
1181.0,Public Rack - Delphina & Foster,41.9736072553384,-87.8410985270303,63,164,227
1188.0,Public Rack - Harlem & Summerdale,41.977814,-87.80681,285,146,431
1190.0,Public Rack - Neenah & Dakin,41.9516996883333,-87.790731015,234,134,368
13259,California Ave & Francis Pl,41.9184998200908,-87.6974280938123,13348,8270,21618
1524189,Lowell Ave & Armitage Ave,41.9170576457976,-87.7353125599263,331,386,717
15645,Richmond St & Diversey Ave,41.9319046208073,-87.7012022882352,10327,5696,16023
21314,Narragansett Ave & Wrightwood Ave,41.9272910915678,-87.7852289556216,778,843,1621
21320,Orange Ave & Addison St,41.9448508383393,-87.8242297851787,90,280,370
21323,Merrimac Park,41.9526099681435,-87.7853484626306,137,214,351
21325,Harlem Ave & Grace St,41.9489408026374,-87.806833442196,34,85,119
21326,Harlem Ave & Irving Park Rd,41.9532600294814,-87.807139827409,187,366,553
21351,Wellington Ave & Mulligan Ave,41.9347323386255,-87.7843514771995,32,167,199
21352,Sayre Ave & Diversey Ave,41.9309817116866,-87.8010587550236,100,209,309
21361,Kenosha Ave & Wellington Ave,41.9344581172928,-87.7337947442004,1601,967,2568
21377,Harlem Ave & Bloomingdale Ave,41.9120273170075,-87.8057725810902,151,168,319
21378,Nordica Ave & Medill Ave,41.9222705290385,-87.802024810624,219,108,327
21393,Oketo Ave & Addison St,41.9448981666667,-87.8119121666667,30,59,89
21395,Shabbona Park,41.9448006277694,-87.7993197614911,104,309,413
21396,Central Ave & Roscoe St,41.9422732513042,-87.7669502649221,89,195,284
23163,Laramie Ave & Irving Park Rd,41.9533202753429,-87.7583722834196,184,374,558
23170,Marmora Ave & Belmont Ave,41.9382868576089,-87.7737670946756,45,96,141
23171,Leclaire Ave & Belmont Ave,41.9390419360743,-87.7541984024114,193,295,488
23175,Mango Ave & Diversey Ave,41.930977815522,-87.7698728310308,527,326,853
23182,Central Ave & Altgeld St,41.9258135730298,-87.7663571902527,348,165,513
24178,Meade Ave & Fullerton Ave,41.9246684026571,-87.778253024121,305,450,755
24322,Overhill Ave & Belmont Ave,41.93799,-87.81915,49,50,99
24324,Nagle Ave & Belmont Ave,41.93851991125,-87.7873500430981,147,239,386
24326,Long Ave & Diversey Ave,41.9310410730809,-87.7612405199117,412,494,906
24332,Lavergne Ave & Diversey Ave,41.9312812292051,-87.7514123415897,210,383,593
24333,Oriole Ave & Irving Park Rd,41.95224,-87.81697,27,37,64
24365,Mason Ave & Montrose Ave,41.9605604412759,-87.7758798516552,42,35,77
